patient_id,staff_id,staff_name,staff_role,shift
36792266,88236,Jennifer Rice,Physician,Day
36792266,618066,طارق الراشد,Resident,Day
36792266,998838,Constanza Menendez Carmona,Intern,Day
71120343,485384,Gabriel Allard,Nurse,Night
18184625,7596,عزّ الدّين آل معيض,Resident,Night
18184625,819149,لوليا آل مقطة,Technician,Evening
18184625,751163,Dr. Aynur Flantz,Resident,Night
82020498,108535,Alf Rosenow,Physician,Night
5396939,863103,Prof. Bernward Hahn B.A.,Nurse,Night
41480793,218344,Ing. Rebekka Schweitzer,Resident,Day
41480793,333230,Juan Francisco Herrera Grande,Nurse,Night
7629299,562838,Jose Angel Goñi,Technician,Night
7629299,434871,Bernhard Ruppersberger,Nurse,Evening
22241367,842785,Aimée Lemonnier,Physician,Day
22241367,82988,Edgar Frederick,Technician,Night
25805749,231570,ديمه أبو داوود,Resident,Day
39762670,766870,عبد الواحد المهنا,Physician,Evening
1864796,984109,Isaac Pruvost-Andre,Intern,Night
18878418,108535,Alf Rosenow,Physician,Night
18878418,146284,عتيد أبا الخيل,Intern,Day
52235301,7596,عزّ الدّين آل معيض,Resident,Night
35420172,434871,Bernhard Ruppersberger,Nurse,Evening
35420172,843504,Meagan Fitzpatrick,Intern,Evening
20043266,963708,Sibylla Pohl B.Eng.,Physician,Night
20043266,757491,Anneke Segebahn B.Eng.,Technician,Day
20043266,843504,Meagan Fitzpatrick,Intern,Evening
52801138,973262,Germán de Estévez,Intern,Evening
52801138,573492,Luis Ángel Casado Porta,Technician,Evening
52086947,863103,Prof. Bernward Hahn B.A.,Nurse,Night
40243932,984109,Isaac Pruvost-Andre,Intern,Night
40243932,651483,Anke Trubin,Resident,Evening
7661236,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
7661236,998838,Constanza Menendez Carmona,Intern,Day
7661236,307403,Pierre Turpin,Nurse,Day
12244321,314159,الأستاذة بشرى أبو داوود,Technician,Day
12244321,973262,Germán de Estévez,Intern,Evening
12244321,173454,Guy Philippe,Technician,Evening
37152827,842785,Aimée Lemonnier,Physician,Day
37152827,751163,Dr. Aynur Flantz,Resident,Night
52531019,184508,قائد فصيل,Resident,Night
51670195,651483,Anke Trubin,Resident,Evening
51670195,173454,Guy Philippe,Technician,Evening
94370560,231570,ديمه أبو داوود,Resident,Day
94370560,948207,Mariah Smith,Intern,Night
94370560,998838,Constanza Menendez Carmona,Intern,Day
34761927,992470,Larry Lowe,Technician,Night
77987949,998838,Constanza Menendez Carmona,Intern,Day
77987949,935868,Steven Wang,Technician,Day
77987949,618066,طارق الراشد,Resident,Day
38890209,687256,Pedro Hierro,Physician,Evening
17155997,230145,المهندسة إباء آل العسكري,Technician,Night
2183532,766870,عبد الواحد المهنا,Physician,Evening
2183532,41208,Matthieu Royer de la Brunet,Resident,Day
65163145,36803,Frédérique de Rey,Resident,Day
17520331,650680,Marcus Koch,Technician,Night
48521510,230145,المهندسة إباء آل العسكري,Technician,Night
6163694,991291,Matteo Baum B.Eng.,Physician,Day
50589017,41208,Matthieu Royer de la Brunet,Resident,Day
16243349,485384,Gabriel Allard,Nurse,Night
16243349,146284,عتيد أبا الخيل,Intern,Day
75817725,333230,Juan Francisco Herrera Grande,Nurse,Night
75817725,231570,ديمه أبو داوود,Resident,Day
75817725,650680,Marcus Koch,Technician,Night
44704860,992470,Larry Lowe,Technician,Night
63247698,502703,Mia Schmiedt,Intern,Day
32880567,984109,Isaac Pruvost-Andre,Intern,Night
57116608,769560,Margot Foucher,Technician,Evening
57116608,333230,Juan Francisco Herrera Grande,Nurse,Night
32975686,863103,Prof. Bernward Hahn B.A.,Nurse,Night
71081451,984109,Isaac Pruvost-Andre,Intern,Night
13639946,796375,Ing. Hans-Hermann Kobelt B.A.,Intern,Night
29871096,573492,Luis Ángel Casado Porta,Technician,Evening
75982619,218344,Ing. Rebekka Schweitzer,Resident,Day
20118586,751163,Dr. Aynur Flantz,Resident,Night
20118586,434871,Bernhard Ruppersberger,Nurse,Evening
20118586,82988,Edgar Frederick,Technician,Night
76716145,664769,Calvin Clark,Technician,Day
39147872,664769,Calvin Clark,Technician,Day
39147872,577770,Steven Huynh,Nurse,Evening
32426746,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
37748905,618066,طارق الراشد,Resident,Day
57887997,842785,Aimée Lemonnier,Physician,Day
55529398,173454,Guy Philippe,Technician,Evening
9700174,819149,لوليا آل مقطة,Technician,Evening
60986722,502703,Mia Schmiedt,Intern,Day
60986722,345587,أفراح كانو,Technician,Day
96304082,502703,Mia Schmiedt,Intern,Day
28051649,963708,Sibylla Pohl B.Eng.,Physician,Night
28051649,757491,Anneke Segebahn B.Eng.,Technician,Day
71494105,173454,Guy Philippe,Technician,Evening
71494105,992470,Larry Lowe,Technician,Night
1483552,935868,Steven Wang,Technician,Day
1483552,948207,Mariah Smith,Intern,Night
13740635,573492,Luis Ángel Casado Porta,Technician,Evening
13740635,88236,Jennifer Rice,Physician,Day
13740635,7596,عزّ الدّين آل معيض,Resident,Night
75997171,650680,Marcus Koch,Technician,Night
75997171,674624,Águeda Delia Figueras Tolosa,Nurse,Evening
75997171,231570,ديمه أبو داوود,Resident,Day
81283450,991291,Matteo Baum B.Eng.,Physician,Day
88300920,562838,Jose Angel Goñi,Technician,Night
79661298,7596,عزّ الدّين آل معيض,Resident,Night
9715106,88236,Jennifer Rice,Physician,Day
78109448,771619,Aurore de la Martineau,Nurse,Night
78109448,769560,Margot Foucher,Technician,Evening
55964342,173454,Guy Philippe,Technician,Evening
77492365,307403,Pierre Turpin,Nurse,Day
45656329,184508,قائد فصيل,Resident,Night
45656329,618066,طارق الراشد,Resident,Day
94024063,757491,Anneke Segebahn B.Eng.,Technician,Day
88687178,36803,Frédérique de Rey,Resident,Day
31292306,973262,Germán de Estévez,Intern,Evening
31292306,173454,Guy Philippe,Technician,Evening
56664914,88236,Jennifer Rice,Physician,Day
89436534,984109,Isaac Pruvost-Andre,Intern,Night
6958286,562838,Jose Angel Goñi,Technician,Night
35925722,984109,Isaac Pruvost-Andre,Intern,Night
82525253,651483,Anke Trubin,Resident,Evening
96737527,863103,Prof. Bernward Hahn B.A.,Nurse,Night
95899787,650680,Marcus Koch,Technician,Night
95899787,948207,Mariah Smith,Intern,Night
91765927,842785,Aimée Lemonnier,Physician,Day
7018996,164281,Jens-Peter Kostolzin MBA.,Resident,Night
7018996,146284,عتيد أبا الخيل,Intern,Day
13904528,108535,Alf Rosenow,Physician,Night
59744834,36803,Frédérique de Rey,Resident,Day
59744834,766870,عبد الواحد المهنا,Physician,Evening
21752750,562838,Jose Angel Goñi,Technician,Night
9322360,769560,Margot Foucher,Technician,Evening
53023450,41208,Matthieu Royer de la Brunet,Resident,Day
7431704,562838,Jose Angel Goñi,Technician,Night
